time,reward_energy,reward_comfort,TSupSetHea,CorTRooSetCoo,CorTRooSetHea,NorTRooSetCoo,NorTRooSetHea,SouTRooSetCoo,SouTRooSetHea,EasTRooSetCoo,EasTRooSetHea,WesTRooSetCoo,WesTRooSetHea,res.PFan,res.PHea,res.PCooSen,res.PCooLat,TSupCor.T,TSupEas.T,TSupWes.T,TSupNor.T,TSupSou.T,weaBus.TDryBul,weaBus.relHum,weaBus.HGloHor,TSup.T,TRooAir.y5[1],TRooAir.y3[1],TRooAir.y1[1],TRooAir.y2[1],TRooAir.y4[1]
43200.0,-36618.83569382071,2,280.30984134058014,297.15,293.15,300.67060745580557,293.15,297.15,282.9743601054769,297.15,293.15,297.15,293.15,741.5937036538035,35877.16197403304,0.08001613386214451,-0.0,289.10144581896736,292.3589061431506,295.7813025026842,295.73477584906385,280.3101944097092,268.15,0.63,369.4255319148936,280.0010714841864,293.15654601027757,293.1636191422091,292.38398260832156,293.1488278267486,293.16273214030093
46800.0,-37148.689984233504,2,280.0,297.15,293.15,301.66764997998365,293.15,297.15,282.5079437842094,297.15,293.15,297.15,293.15,741.927646401256,36406.367995807654,0.39434202459190915,-0.0,289.5582457213027,292.58111652260857,295.22764758959323,295.4358128009137,280.0004872182047,269.84999999999997,0.63,298.1751497005988,280.31019487724495,293.15346839899945,293.1595770593984,292.78040385571717,293.1506557262076,293.1589929675721
50400.0,-33792.46829759775,2,280.0,297.15,293.15,302.4388389467514,293.15,297.15,282.33021606290777,297.15,293.15,297.15,293.15,742.2923989790565,33051.34186139069,-1.1659627719993004,-0.0,288.33326569998604,291.7440305506507,293.36508192642907,293.6212251406781,279.99401939032134,270.95,0.63,206.07762807717899,280.0004892555213,293.1503248472327,293.1569567846694,292.69926673970383,293.1510567332896,293.15922525544437
54000.0,-33715.09232526534,1,281.28795011993407,297.15,293.15,302.8076728390815,293.15,297.15,283.01459452214743,297.15,293.15,297.15,293.15,742.3063234297133,32972.24243349525,0.5435683403686361,-0.0,288.07705581623804,291.83645631595425,292.7338074225204,293.41658562552846,281.2861018046685,272.04999999999995,0.61,149.41169590643275,279.9940133245691,293.1508387568311,293.153615641067,292.7219241260968,293.15005198516644,293.1563688187679
57600.0,-33507.86097406124,1,280.4722909133958,297.15,293.15,302.3266990339811,293.15,297.15,283.36932221012574,297.15,293.15,297.15,293.15,742.2951044552701,32765.885211393965,-0.31934178799431445,-0.0,288.11207513687486,291.90519723723,292.8035544167704,293.335914991879,280.4732044202297,272.04999999999995,0.64,83.12356979405034,281.2861047621728,293.15047488112623,293.1507785531251,292.7732069731983,293.14918727893485,293.1515823249335
61200.0,-33264.03700481388,1,280.0,297.15,293.15,301.8046913462525,293.15,297.15,282.7225448367193,297.15,293.15,297.15,293.15,742.2919459034292,32521.850650880056,-0.10559196960640374,-0.0,288.09783723754714,291.8722186293498,292.86632344865524,293.15139252181496,280.00025640309576,272.04999999999995,0.6900000000000001,19.704144021739133,280.47320265991976,293.1501539883772,293.15063269407784,292.60426964134507,293.1498299893929,293.14845834781545
64800.0,-39146.90277696483,3,280.0,297.15,293.15,301.8313856369729,293.15,297.15,281.7261012293396,297.15,293.15,297.15,293.15,742.1083407349017,38404.196622671945,0.5978135579848658,-0.0,290.52414943774664,293.4813679178378,294.8842284813631,295.3714413213564,280.0000633956174,272.04999999999995,0.6900000000000001,1.1328124999999996,280.0002558184405,293.150609508157,293.1528090280668,292.4897712285202,293.1510777516431,293.1515712506159
68400.0,-46226.924604518106,3,280.0,297.15,293.15,301.098789921023,293.15,297.15,282.59978802199356,297.15,293.15,297.15,293.15,741.9624725440733,45484.938792708635,0.02333926540053479,-0.0,293.386279001724,295.5823176792042,297.60454345653676,298.4158990347058,280.00063062124826,271.45,0.72,0.0,280.00006649563346,293.130461689581,293.1276961896308,292.2566510263705,293.13639852468873,293.1297927547347
72000.0,-4383.952716476994,0,281.789650236955,297.15,293.15,301.54870394196575,293.15,297.15,283.2908825335452,297.15,293.15,297.15,293.15,786.652419586375,3597.817988846439,-0.517691955819645,-0.0,293.5854652615851,295.82309037009423,297.76394855009727,298.77952557963823,293.5854652615851,270.95,0.75,0.0,280.00063071870284,293.12740742964917,293.11374711863914,291.98953091918366,293.1312159182861,293.12025835265774
7200.0,0.004089308222971148,0,282.16624333979485,303.15,285.15,300.58864704873093,285.15,303.15,282.5107773258971,303.15,285.15,303.15,285.15,-2.0800965876055613e-15,0.0,-0.004089308222969068,-0.0,293.15000968122814,293.1500152177904,293.1500188701655,293.15001642862825,293.1500168132923,260.95,0.73,0.0,293.15,293.15,293.15,293.15,293.15,293.15
